,Company,Ticker
0,Activision Blizzard,ATVI
1,Adobe Inc.,ADBE
2,Advanced Micro Devices,AMD
3,Alexion Pharmaceuticals,ALXN
4,Align Technology,ALGN
5,Alphabet Inc.,(Class A)
6,Alphabet Inc.,(Class C)
7,Amazon.com,AMZN
8,Amgen,AMGN
9,Analog Devices,ADI
10,ANSYS,ANSS
11,Apple Inc.,AAPL
12,"Applied Materials, Inc.",AMAT
13,ASML Holding,ASML
14,Autodesk,ADSK
15,"Automatic Data Processing, Inc.",ADP
16,Baidu,BIDU
17,Biogen,BIIB
18,"BioMarin Pharmaceutical, Inc.",BMRN
19,Booking Holdings,BKNG
20,Broadcom Inc.,AVGO
21,Cadence Design Systems,CDNS
22,CDW,CDW
23,Cerner Corporation,CERN
24,"Charter Communications, Inc.",CHTR
25,Check Point Software Technologies Ltd.,CHKP
26,Cintas Corporation,CTAS
27,Cisco Systems,CSCO
28,Citrix Systems,CTXS
29,Cognizant Technology Solutions Corporation,CTSH
30,Comcast Corporation,CMCSA
31,Copart,CPRT
32,Costco Wholesale Corporation,COST
33,CSX Corporation,CSX
34,DexCom,DXCM
35,DocuSign,DOCU
36,"Dollar Tree, Inc.",DLTR
37,eBay Inc.,EBAY
38,Electronic Arts,EA
39,Exelon Corporation,EXC
40,Expedia Group,EXPE
41,"Facebook, Inc.",FB
42,Fastenal Company,FAST
43,"Fiserv, Inc.",FISV
44,Fox Corporation,(Class A)
45,Fox Corporation,(Class B)
46,"Gilead Sciences, Inc.",GILD
47,IDEXX Laboratories,IDXX
48,"Illumina, Inc.",ILMN
49,Incyte Corporation,INCY
50,Intel Corporation,INTC
51,Intuit,INTU
52,Intuitive Surgical,ISRG
53,JD.com,JD
54,KLA Corporation,KLAC
55,Kraft Heinz Co,KHC
56,Lam Research,LRCX
57,Liberty Global,(Class A)
58,Liberty Global,(Class C)
59,Lululemon Athletica,LULU
60,Marriott International,MAR
61,Maxim Integrated Products,MXIM
62,MercadoLibre,MELI
63,Microchip Technology,MCHP
64,"Micron Technology, Inc.",MU
65,Microsoft Corporation,MSFT
66,Moderna,MRNA
67,MondelÄ“z International,MDLZ
68,Monster Beverage Corporation,MNST
69,NetApp,NTAP
70,"NetEase, Inc.",NTES
71,Netflix,NFLX
72,Nvidia Corporation,NVDA
73,NXP Semiconductors N.V.,NXPI
74,"O'Reilly Automotive, Inc.",ORLY
75,PACCAR Inc.,PCAR
76,"Paychex, Inc.",PAYX
77,PayPal,PYPL
78,"PepsiCo, Inc.",PEP
79,QUALCOMM,QCOM
80,Regeneron Pharmaceuticals,REGN
81,Ross Stores Inc.,ROST
82,Seattle Genetics,SGEN
83,"Sirius XM Radio, Inc.",SIRI
84,"Skyworks Solutions, Inc.",SWKS
85,Splunk,SPLK
86,Starbucks Corporation,SBUX
87,"Synopsys, Inc.",SNPS
88,T-Mobile US,TMUS
89,"Take-Two Interactive, Inc.",TTWO
90,"Tesla, Inc.",TSLA
91,"Texas Instruments, Inc.",TXN
92,Trip.com Group,TCOM
93,Ulta Beauty,ULTA
94,Verisign,VRSN
95,Verisk Analytics,VRSK
96,Vertex Pharmaceuticals,VRTX
97,"Walgreen Boots Alliance, Inc.",WBA
98,"Workday, Inc.",WDAY
99,Western Digital,WDC
100,"Xcel Energy, Inc.",XEL
101,"Xilinx, Inc.",XLNX
102,Zoom Video Communications,ZM
