date,fund,company,ticker,cusip,shares,market value ($),weight (%),roic,op_margin,gross_margin,net_margin,op_inc_3_yr_growth,rev_3_yr_growth,ocf_yr_growth,op_inc_1_yr_growth,rev_1_yr_growth
02/22/2022,ARKK,UNITY SOFTWARE INC,U,91332U101,"5,542,691","$549,225,251.19",4.94%,-21.09,-46.08,77.1,-44.77,,,,,42.58
02/22/2022,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"6,026,795","$403,915,800.90",3.63%,-65.07,,,,,,,,33.33
02/22/2022,ARKK,2U INC,TWOU,90214J101,"5,745,188","$55,383,612.32",0.50%,-8.27,-16.11,71.19,-18.0,,39.27,,,34.78
02/22/2022,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,"3,751,513","$74,430,017.92",0.67%,2.32,3.47,56.9,3.25,,6.13,5.55,,-13.34
02/22/2022,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,178,861","$115,937,193.81",1.04%,-24.06,-122.6,38.77,-112.7,,73.3,,,46.87
02/22/2022,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,"5,913,842","$195,984,723.88",1.76%,-29.35,-331.08,,-359.67,,97.09,,,194.33
02/22/2022,ARKK,CERUS CORP,CERS,157085101,"9,861,026","$52,559,268.58",0.47%,-33.59,-39.38,60.72,-41.7,,30.57,,,21.83
02/22/2022,ARKK,COMPUGEN LTD,CGEN,M25722105,"5,651,408","$16,276,055.04",0.15%,-30.47,-442.31,90.75,-426.51,,,,,
02/22/2022,ARKK,TELADOC HEALTH INC,TDOC,87918A105,"11,023,811","$716,547,715.00",6.45%,-7.34,-32.39,67.87,-43.6,,67.38,,,97.71
02/22/2022,ARKK,INVITAE CORP,NVTA,46185L103,"17,320,190","$161,770,574.60",1.46%,-13.36,-206.95,26.21,-93.9,,60.03,,,28.95
02/22/2022,ARKK,VERACYTE INC,VCYT,92337F107,"4,696,162","$118,953,783.46",1.07%,-9.33,-41.36,66.42,-39.14,,17.75,,,-2.4
02/22/2022,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,128,588","$173,607,637.28",1.56%,-6.79,-10.79,84.89,-11.87,,49.66,,,64.13
02/22/2022,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,"13,894,473","$240,235,438.17",2.16%,-52.75,-120.49,38.72,-117.53,,78.92,,,110.9
02/22/2022,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,"11,863,154","$136,070,376.38",1.22%,-2.84,-114.29,43.98,-30.39,,-5.49,,,-13.2
02/22/2022,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"3,438,115","$650,353,833.40",5.85%,27.13,40.18,86.22,42.58,,,,,139.35
02/22/2022,ARKK,UIPATH INC - CLASS A,PATH,90364P105,"14,303,928","$542,834,067.60",4.88%,-34.27,-53.73,81.76,-81.58,,,,,80.76
02/22/2022,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"3,014,445","$459,009,540.15",4.13%,-0.13,0.97,26.8,-0.35,,22.5,39.38,,22.69
02/22/2022,ARKK,TWILIO INC - A,TWLO,90138F102,"2,846,647","$450,709,619.51",4.05%,-8.92,-32.08,50.11,-32.89,,64.05,132.45,,55.3
02/22/2022,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,"7,981,035","$591,634,124.55",5.32%,-15.23,-58.49,75.03,-46.5,,77.65,,,70.19
02/22/2022,ARKK,BLOCK INC,SQ,852234103,"4,795,228","$468,589,680.16",4.22%,8.3,1.98,24.14,3.21,,62.48,-18.06,,101.5
02/22/2022,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"5,678,892","$491,337,735.84",4.42%,-29.95,-857.78,,-854.1,,30.46,,,34.55
02/22/2022,ARKK,TESLA INC,TSLA,88160R101,"1,168,067","$1,001,010,057.66",9.01%,15.55,12.07,25.28,10.25,,35.86,93.45,225.78,70.67
02/22/2022,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"17,366,524","$205,098,648.44",1.85%,-46.82,-62.07,,-195.36,,,48.9,,245.48
02/22/2022,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,"2,580,660","$128,310,415.20",1.15%,-98.59,-25.54,74.49,-24.4,,,428.65,,81.73
02/22/2022,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,"11,060,376","$140,356,171.44",1.26%,0.34,8.12,48.27,-2.23,,,4.32,68.0,21.68
02/22/2022,ARKK,BERKELEY LIGHTS INC,BLI,084310101,"4,615,982","$31,665,636.52",0.28%,-23.04,-77.2,65.99,-76.69,,,,,13.42
02/22/2022,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"6,095,582","$355,311,474.78",3.20%,17.36,40.82,,41.28,,564.1,,,
02/22/2022,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,"5,524,693","$701,415,023.28",6.31%,33.77,27.3,72.78,29.27,,159.64,868.57,5097.29,325.81
02/22/2022,ARKK,SEA LTD-ADR,SE,81141R100,"932,500","$119,070,925.00",1.07%,-25.36,-18.05,37.58,-23.53,,119.42,695.63,,101.15
02/22/2022,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"9,596,926","$105,758,124.52",0.95%,-25.43,-35.54,77.48,-35.81,,,,,47.15
02/22/2022,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"428,579","$281,524,973.52",2.53%,29.58,5.83,53.8,63.2,,62.58,18.7,197.99,57.43
02/22/2022,ARKK,ROKU INC,ROKU,77543R102,"5,603,429","$630,161,625.34",5.67%,9.68,8.5,50.95,8.77,,54.99,53.91,,55.45
02/22/2022,ARKK,PAGERDUTY INC,PD,69553P100,"7,259,003","$230,473,345.25",2.07%,-16.11,-35.44,83.28,-38.41,,38.94,,,28.38
02/22/2022,ARKK,TRIMBLE INC,TRMB,896239100,"1,474,609","$100,789,525.15",0.91%,11.89,15.95,55.9,15.65,20.78,5.85,14.87,10.65,-3.57
02/22/2022,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,"7,935,664","$121,733,085.76",1.10%,18.41,714.5,63.23,,,,,,159.58
02/22/2022,ARKK,STRATASYS LTD,SSYS,M85548101,"4,591,664","$118,694,514.40",1.07%,-5.42,-11.25,43.44,-7.92,,-7.98,,,-18.12
